Date,chanNum,Depth,Screws
20210218,27,76,0
20210218,28,70.75,0
20210218,29,100.25,0
20210218,30,77.25,0
20210218,31,77.75,0
20210218,32,79.25,0
20210218,33,65.5,0
20210218,34,66,0
20210218,35,23.5,0
20210218,36,70,0
20210218,37,70,0
20210218,38,101,0
20210218,39,70,0
20210218,40,107.25,0
20210218,41,70,0
20210218,42,68,0
20210218,43,75,0
20210218,44,75,6.5
20210218,45,71,0
20210218,46,43,0
20210218,47,27,0
20210218,48,72,0
20210218,49,84,0
20210218,50,90,0
20210218,51,75,0
20210218,52,75,0
20210218,53,68.5,0
20210218,54,59.5,0
20210218,55,69,0
20210218,56,60.75,0
20210218,57,69,0
20210218,58,70,0
20210218,59,41,0
20210218,60,26,0
20210218,61,98,0
20210218,62,74.5,0
20210218,63,123.75,0
20210218,64,86,0
20210218,65,76,0
20210218,66,70,0
20210218,67,67,0
20210218,68,69,0
20210218,69,67,0
20210218,70,67.5,0
20210218,71,44,0
20210218,72,30,0
20210218,73,64,0
20210218,74,74,0
20210218,75,76,0
20210218,76,64,0
20210218,77,72,0
20210218,78,74,0
20210218,79,75.5,0
20210218,80,71,0
20210218,81,76.5,0
20210218,82,66.5,0
20210218,83,63.75,0
20210218,84,31.25,0
20210218,85,87.25,0
20210218,86,77,0
20210218,87,77.25,0
20210218,88,93,0
20210218,89,77.75,0
20210218,90,76,0
20210218,91,72,0
20210218,92,66,0
20210218,93,54,0
20210218,94,61,0
20210218,95,34,0
20210218,96,59,0
20210218,97,81,0
20210218,98,74.75,0
20210218,99,78.75,0
20210218,100,81.5,0
20210218,101,76,0
20210218,102,74,0
20210218,103,70.5,0
20210218,104,61,0
20210218,105,58.75,1.75
20210218,106,31.5,0
20210218,107,56,0
20210218,108,70,0
20210218,109,70,0
20210218,110,79,0
20210218,111,68,0
20210218,112,78.25,0
20210218,113,71,0
20210218,114,65.75,0
20210218,115,72.5,0
20210218,116,29,0
20210218,117,46.5,0
20210218,118,38,0
20210218,119,63,0
20210218,120,65,0
20210218,121,69.5,0
20210218,122,69,0
20210218,123,65,0
20210218,124,55,0
20210218,125,65,0
20210218,126,28,0
20210218,127,70,0
20210218,128,65,0
20210218,129,63.5,0
20210218,130,69,1.5
20210218,131,67,0
20210218,132,73,0
20210218,133,58.75,0
20210218,134,104,0
20210218,135,29,0
20210218,136,60.5,0
20210218,137,65,0
20210218,138,62,0
20210218,139,58.25,0
20210218,140,64,0
20210218,141,59,0
20210218,142,60,0.25
20210218,143,58,0
20210218,144,28,0
20210218,145,0,0
20210218,146,0,0
20210218,147,0,0
20210218,148,0,0
20210218,149,0,0
20210218,150,0,0
20210218,151,0,0
20210218,152,0,0
20210218,153,0,0
20210218,154,0,0
20210218,155,0,0
20210218,156,0,0
20210218,157,0,0
20210218,158,0,0
20210218,159,0,0
20210218,160,0,0
20210219,1,0,0
20210219,2,0,0
20210219,3,0,0
20210219,4,61,0
20210219,5,70.25,0
20210219,6,71.75,0
20210219,7,63.5,0
20210219,8,73,0
20210219,9,58,0
20210219,10,31,0
20210219,11,30,0
20210219,12,30.5,0
20210219,13,57,0
20210219,14,51,0
20210219,15,61,0
20210219,16,61,0
20210219,17,68,0
20210219,18,55,0
20210219,19,40,0
20210219,20,44,0
20210219,21,49,0
20210219,22,32.25,0
20210219,23,29.25,0
20210219,24,54.5,0
20210219,25,77,0
20210219,26,76.5,0
20210219,27,76,0
20210219,28,70.75,0
20210219,29,100.25,0
20210219,30,77.25,0
20210219,31,77.75,0
20210219,32,79.25,0
20210219,33,65.5,0
20210219,34,66,0
20210219,35,23.5,0
20210219,36,70,0
20210219,37,70,0
20210219,38,101,0
20210219,39,70,0
20210219,40,107.25,0
20210219,41,70,0
20210219,42,68,0
20210219,43,75,0
20210219,44,75,0
20210219,45,71,0
20210219,46,43,0
20210219,47,27,0
20210219,48,72,0
20210219,49,84,0
20210219,50,90,0
20210219,51,75,0
20210219,52,75,0
20210219,53,68.5,0
20210219,54,59.5,0
20210219,55,69,0
20210219,56,60.75,0
20210219,57,69,0
20210219,58,70,0
20210219,59,41,0
20210219,60,26,0
20210219,61,98,0
20210219,62,74.5,0
20210219,63,123.75,0
20210219,64,86,0
20210219,65,76,0
20210219,66,70,0
20210219,67,67,0
20210219,68,69,0
20210219,69,67,0
20210219,70,67.5,0
20210219,71,44,0
20210219,72,30,0
20210219,73,64,0
20210219,74,74,0
20210219,75,76,0
20210219,76,64,0
20210219,77,72,0
20210219,78,74,0
20210219,79,75.5,0
20210219,80,71,0
20210219,81,76.5,0
20210219,82,66.5,0
20210219,83,63.75,0
20210219,84,31.25,0
20210219,85,87.25,0
20210219,86,77,0
20210219,87,77.25,0
20210219,88,93,0
20210219,89,77.75,0
20210219,90,76,0
20210219,91,72,0
20210219,92,66,0
20210219,93,54,0
20210219,94,61,0
20210219,95,34,0
20210219,96,59,0
20210219,97,83.75,2.75
20210219,98,74.75,0
20210219,99,78.75,0
20210219,100,81.5,0
20210219,101,76,0
20210219,102,74,0
20210219,103,70.5,0
20210219,104,61,0
20210219,105,58.75,0
20210219,106,31.5,0
20210219,107,56,0
20210219,108,70,0
20210219,109,70,0
20210219,110,79,0
20210219,111,68,0
20210219,112,78.25,0
20210219,113,71,0
20210219,114,65.75,0
20210219,115,72.5,0
20210219,116,29,0
20210219,117,50.5,4
20210219,118,38,0
20210219,119,63,0
20210219,120,65,0
20210219,121,69.5,0
20210219,122,69,0
20210219,123,65,0
20210219,124,55,0
20210219,125,65,0
20210219,126,28,0
20210219,127,72,2
20210219,128,65,0
20210219,129,63.5,0
20210219,130,69,0
20210219,131,67,0
20210219,132,73,0
20210219,133,59.5,0.75
20210219,134,104,0
20210219,135,29,0
20210219,136,60.5,0
20210219,137,65,0
20210219,138,62,0
20210219,139,58.25,0
20210219,140,64,0
20210219,141,59,0
20210219,142,60.25,0.25
20210219,143,58,0
20210219,144,28,0
20210219,145,0,0
20210219,146,0,0
20210219,147,0,0
20210219,148,0,0
20210219,149,0,0
20210219,150,0,0
20210219,151,0,0
20210219,152,0,0
20210219,153,0,0
20210219,154,0,0
20210219,155,0,0
20210219,156,0,0
20210219,157,0,0
20210219,158,0,0
20210219,159,0,0
20210219,160,0,0
20210220,1,0,0
20210220,2,0,0
20210220,3,0,0
20210220,4,61,0
20210220,5,70.25,0
20210220,6,71.75,0
20210220,7,63.5,0
20210220,8,73,0
20210220,9,58,0
20210220,10,31,0
20210220,11,30,0
20210220,12,30.5,0
20210220,13,57,0
20210220,14,51,0
20210220,15,61,0
20210220,16,61,0
20210220,17,68,0
20210220,18,55,0
20210220,19,40,0
20210220,20,44,0
20210220,21,49,0
20210220,22,32.25,0
20210220,23,29.25,0
20210220,24,54.5,0
20210220,25,77,0
20210220,26,76.5,0
20210220,27,76,0
20210220,28,70.75,0
20210220,29,100.25,0
20210220,30,77.25,0
20210220,31,77.75,0
20210220,32,79.25,0
20210220,33,65.5,0
20210220,34,66,0
20210220,35,23.5,0
20210220,36,70,0
20210220,37,70,0
20210220,38,101,0
20210220,39,70,0
20210220,40,107.25,0
20210220,41,70,0
20210220,42,68,0
20210220,43,75,0
20210220,44,75,0
20210220,45,71,0
20210220,46,43,0
20210220,47,27,0
20210220,48,72,0
20210220,49,84,0
20210220,50,90,0
20210220,51,75,0
20210220,52,75,0
20210220,53,68.5,0
20210220,54,59.5,0
20210220,55,69,0
20210220,56,60.75,0
20210220,57,69,0
20210220,58,70,0
20210220,59,41,0
20210220,60,26,0
20210220,61,98,0
20210220,62,74.5,0
20210220,63,123.75,0
20210220,64,86,0
20210220,65,76,0
20210220,66,70,0
20210220,67,67,0
20210220,68,69,0
20210220,69,67,0
20210220,70,67.5,0
20210220,71,44,0
20210220,72,30,0
20210220,73,64,0
20210220,74,74,0
20210220,75,76,0
20210220,76,64,0
20210220,77,72,0
20210220,78,74,0
20210220,79,75.5,0
20210220,80,71,0
20210220,81,76.5,0
20210220,82,66.5,0
